Type,Restaurant_Name,Review_Title,Rating,Review_Date,Review_Content
Japnese,"Shinji by Kanesaka, Singapore",OMG what a sushi experience 💯,50,3 October 2018,Had a quick impromptu business lunch and strolled in just after 1pm without a reservation. The service and reception was impeccable. The Chef ‍ what can I say. The very best I have come across in Singapore. Engaging the client in a meal with a running commentary and making the entire but brief 12 piece sushi lunch set all too brief but what a sushi ride . A little pricey but what an experience 
Japnese,"Shinji by Kanesaka, Singapore",Best Sushi,50,3 October 2018,"I have been to most Japanese restaurants in Singapore and i've been to Shinji several times, it is simply D best in my opinion. the service is impeccable, the ingredient used are of good quality and its sushi taste great. Although its on the higher end of the price scale, its worth at least one visit especially for special occasions."
Japnese,"Shinji by Kanesaka, Singapore",Consistent ,50,21 September 2018,"You can never go wrong here. Always fresh, always friendly and excellent service. Michelin rated Chef."
Japnese,"Shinji by Kanesaka, Singapore",Expensive but worth the money,50,19 September 2018,I had lunch with my colleague at the restaurant.We both ordered Chef Omakaze(don’t remember exactly but it was one of thier Omakaze).Their quality level of the foods are excellent and matter of fact it was too much food for me!We had some beers and highballs. Eventually we paid slightly over 1k Singapore dollar as total.They are expensive but worth the money.
Japnese,"Shinji by Kanesaka, Singapore",Expensive but excellent vaule for lunch,50,30 August 2018,"Heard so much about this restaurant. Was invited there for lunch. It’s like walking into Japan. The decor was so authentic, so Japanese.Seated at the counter top which seats only 8 diners. So much to eat and the food was excellent. I was overblown by the freshness and the use of the chef’s sauce painted on the sashimi and sushi. The taste was mild and not over powering. The best dish was the humble tamago with tiny shrimps. The taste was so unique and great.Definitely recommended but mind the pocket."
Japnese,"Shinji by Kanesaka, Singapore",Best sushi!,50,29 August 2018,"I went there for my birthday treat with my hubby.Please make reservation and get the counter seats!The chef will prepare every single sushi and serve directly to you piece by piece. He will only make the second piece once you ate the first piece.All very fresh ingredients, melt in the mouth.. you can opt for less rice too.They add surprise element by serving the birthday cake / dessert by turning off the light, singing the song, the chefs all wear masks (Japanese characters.one of them was Pikachu). Birthday hat and balloon... so cool!!Great place to celebrate special occasion and you can arrange surprise too!"
Japnese,"Shinji by Kanesaka, Singapore",Yet again a top notch sushi experience,50,16 August 2018,The best sushi restaurant in Singapore for me. Great to interact with the chefs and always special treat to be at head chef Oshino-san’s counter.
Japnese,"Shinji by Kanesaka, Singapore",Omakase birthday celebration,40,9 August 2018,"Celebrated my Fiance's birthday with Omakase Yume lunch sets at Carlton Hotel. It was a memorable gastronomical experience and we enjoyed every item prepared. Recommended to sit at the counter seats for omakase as it was interesting to watch how the Chef prepares each item. Ingredients were fresh and the layers of flavour were overwhelming! Every dish is a surprise. Service staffs are friendly and cheerful, and they prepared a small surprise for the birthday celebration. Total bill amount to $588 for 2 pax so I wouldn't say it is valued for money."
Japnese,"Shinji by Kanesaka, Singapore",Omakasgasm,50,8 August 2018,"Highlight of my week is the Chefs Special. It’s literally flown from Tsukiji to your plate. It warms my heart when these badass n*ggas put gold leaf on my sushi.
Love x"
Japnese,"Shinji by Kanesaka, Singapore",Don’t be stingy st Shinjii ,40,31 July 2018,"First time back since they moved from a Raffles to Carlton hotel; had the Chef’s Omakase. Of course, it’s extremely good, especially the cooked dishes. Somehow, I prefer the sushi at Ashino, and I find the uni rice bowl at Ki-sho more satisfying. But, at this level, differences are minimal and preferences are more a personal matter."
Japnese,"Shinji by Kanesaka, Singapore",Next Level Omakase ,50,29 July 2018,"I was lucky enough to be entertained by a client who advised we would be doing Shinjuku at the Carlton Hotel. Upon arrival I was greeted warmly and then directed to a smaller room. We then sat and did the Omakase menu. Our Japanese chef nailed all the courses, with everything perfect from the delicate fish to the warmth of the rice. He also recommended some off menu Sake which is from his home town. Was delicious. Looking forward to my next visit. "
Japnese,"Shinji by Kanesaka, Singapore",Great place Great experience,50,21 July 2018,"We loved everything about the place, right from the entrance, the inner ambience, the highly hospitable staff, the delicious and mouth watering preparations.
Worth a revisit soon."
Japnese,"Shinji by Kanesaka, Singapore",Sushi done right,50,13 July 2018,"Located in the Carlton hotel. This place was very quiet despite hotel being busy. Really great quality produce, especially the tuna. I would recommend."
Japnese,"Shinji by Kanesaka, Singapore",Delicious,50,9 July 2018,"Phenomenal sushi prepared by well trained professionals in a wonderful setting. One of the best sushi restaurants I have ever visited.
Not cheap but a great place to go for a treat.
Will definitely visit again."
Japnese,"Shinji by Kanesaka, Singapore",Hana lunch set,50,8 July 2018,Shinji isn’t cheap at all but I decided I just had to try it. The best way to do this without getting too badly gouged is through the Hana lunch set: 9 pieces of sushi for $75++. Service and food quality are excellent. I was able to walk in on a weekday without a reservation. I would love to try the more expensive options but will save that for a special occasion. 
