type,name,reviews,link
Chinese,Crystal Jade,89,https://www.tripadvisor.com.sg/Restaurant_Review-g294265-d7195162-Reviews-Crystal_Jade_Palace-Singapore.html
Chinese,London Fat Duck,147,https://www.tripadvisor.com.sg/Restaurant_Review-g294265-d8126550-Reviews-London_Fat_Duck-Singapore.html
Chinese,LONG BEACH @ DEMPSEY,419,https://www.tripadvisor.com.sg/Restaurant_Review-g294265-d858007-Reviews-LONG_BEACH_DEMPSEY-Singapore.html
Chinese,Peach Blossoms (Marina Mandarin),308,https://www.tripadvisor.com.sg/Restaurant_Review-g294265-d1007702-Reviews-Peach_Blossoms_Marina_Mandarin-Singapore.html
Chinese,Yum Cha Restaurant,339,https://www.tripadvisor.com.sg/Restaurant_Review-g294265-d807653-Reviews-Yum_Cha_Restaurant-Singapore.html
French,Angelina_MBS,119,https://www.tripadvisor.com.sg/Restaurant_Review-g294265-d8277271-Reviews-Angelina_MBS-Singapore.html
French,L_Angelus,120,https://www.tripadvisor.com.sg/Restaurant_Review-g294265-d788966-Reviews-L_Angelus-Singapore.html
French,L_Entrecote_The_Steak_Fries_Bistro,229,https://www.tripadvisor.com.sg/Restaurant_Review-g294265-d3377772-Reviews-L_Entrecote_The_Steak_Fries_Bistro-Singapore.html
French,Les_Bouchons_Robertson_Quay,117,https://www.tripadvisor.com.sg/Restaurant_Review-g294265-d1082130-Reviews-Les_Bouchons_Robertson_Quay-Singapore.html
French,Paul,341,https://www.tripadvisor.com.sg/Restaurant_Review-g294265-d2518800-Reviews-Paul-Singapore.html
French,Poulet,57,https://www.tripadvisor.com.sg/Restaurant_Review-g294265-d4452490-Reviews-Poulet-Singapore.html
French,Saveur,359,https://www.tripadvisor.com.sg/Restaurant_Review-g294265-d6373254-Reviews-Saveur-Singapore.html
Indian,"Ananda Bhavan, Singapore",233,https://www.tripadvisor.com.sg/Restaurant_Review-g294265-d1144421-Reviews-Ananda_Bhavan-Singapore.html
Indian,"Kailash Parbat, Singapore",503,https://www.tripadvisor.com.sg/Restaurant_Review-g294265-d2141193-Reviews-Kailash_Parbat-Singapore.html
Indian,"Murugan Idli Shop, Singapore",300,https://www.tripadvisor.com.sg/Restaurant_Review-g294265-d1385547-Reviews-Murugan_Idli_Shop-Singapore.html
Indian,"Muthu's Curry @ Dempsey, Singapore",284,https://www.tripadvisor.com.sg/Restaurant_Review-g294265-d5425488-Reviews-Muthu_s_Curry-Singapore.html
Indian,"Newton Hawker Centre, Singapore",669,https://www.tripadvisor.com.sg/Restaurant_Review-g294265-d804587-Reviews-Newton_Food_Centre-Singapore.html
Indian,"Riverwalk Tandoor, Singapore",134,https://www.tripadvisor.com.sg/Restaurant_Review-g294265-d787691-Reviews-Riverwalk_Tandoor-Singapore.html
Japnese,"Shin Minori Japanese Restaurant, Singapore",844,https://www.tripadvisor.com.sg/Restaurant_Review-g294265-d795709-Reviews-Shin_Minori_Japanese_Restaurant-Singapore.html
Japnese,"Shinji by Kanesaka, Singapore",281,https://www.tripadvisor.com.sg/Restaurant_Review-g294265-d1896393-Reviews-Shinji_by_Kanesaka-Singapore.html
Japnese,"Waku Ghin, Singapore",269,https://www.tripadvisor.com.sg/Restaurant_Review-g294265-d1931154-Reviews-Waku_Ghin-Singapore.html
